stock_name,scientific_name,common_name,region,tsn,fishery_type
RMULLMEDGSA29,Mullus barbatus,Red mullet,Mediterranean-Black Sea,169419,Other Marine
RROCKLOBSTERSAUSNZ,Jasus edwardsii,Rock lobster,Australia,660225,Invertebrate
RROCKLOBSTERSAUSSZ,Jasus edwardsii,Rock lobster,Australia,660225,Invertebrate
RSFLOUNSOJ,Eopsetta grigorjewi,Round nose flounder,Japan,172869,Flatfish
RSNAPGM,Lutjanus campechanus,Red snapper,US Southeast and Gulf,168853,Other Marine
RSOLE5AB,Lepidopsetta bilineata,Rock sole,Canada West Coast,172917,Flatfish
RSOLEGA,Lepidopsetta bilineata,Rock sole,US Alaska,172917,Flatfish
RSQLOBSTERCSCH,Pleuroncodes monodon,Red squat lobster,South America,-993,Invertebrate
RSROCKBCWN,Sebastes proriger,Redstripe rockfish,Canada West Coast,166736,Rockfish
RSROCKBCWS,Sebastes proriger,Redstripe rockfish,Canada West Coast,166736,Rockfish
SABLEFPCAN,Anoplopoma fimbria,Sablefish,Canada West Coast,167123,Other Marine
SARDMEDGSA17.18,Sardina pilchardus,Sardine,Mediterranean-Black Sea,161813,Forage Fish
SARDSAS,Sardinops sagax,Sardine,Southern Africa,161729,Forage Fish
SARDSAW,Sardinops sagax,Sardine,Southern Africa,161729,Forage Fish
SARDWSE,Sardinops sagax,Sardine,Australia,161730,Forage Fish
SBELLYROCKPCOAST,Sebastes jordani,Shortbelly rockfish,US West Coast,166725,Rockfish
SBWHITCH,Micromesistius australis,Southern blue whiting,South America,164775,Gadids
SCMPBP,Metanephrops challengeri,Scampi,New Zealand,552935,Invertebrate
SCMPMB,Metanephrops challengeri,Scampi,New Zealand,552935,Invertebrate
SCMPWHB,Metanephrops challengeri,Scampi,New Zealand,552935,Invertebrate
SDOGBLKGSA29,Squalus acanthias,Spiny dogfish,Mediterranean-Black Sea,160617,Sharks Rays and Skates
SEELNSSA1,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SEELNSSA2,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SEELNSSA3,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SEELNSSA4,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SELLNSSA1,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SELLNSSA2,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SELLNSSA3,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SELLNSSA4,Ammodytes spp,Sand eel,European Union,171671,Forage Fish
SMOOTHOREOCR,Pseudocyttus maculatus,Smooth oreo,New Zealand,625280,Other Marine
SNAPSAUSNSG,Chrysophrys auratus,Snapper,Australia,169231,Other Marine
SNAPSAUSSSG,Chrysophrys auratus,Snapper,Australia,169231,Other Marine
SNOWCRABBS,Chionoecetes opilio,Snow crab,US Alaska,98428,Invertebrate
SNROCKPCOAST,Sebastes diploproa,Splitnose rockfish,US West Coast,166716,Rockfish
SOLEIIIa.2224,Solea solea,Common sole,European Union,173002,Flatfish
SOLEVIIh.k,Solea solea,Common sole,European Union,173002,Flatfish
SOLEVIIIab,Solea solea,Common sole,European Union,173002,Flatfish
SOUTHHAKECH,Merluccius australis,Southern hake,South America,164797,Gadids
SOUTHHAKEWCSI,Merluccius australis,Southern hake,New Zealand,164797,Gadids
SPANMACKGM,Scomberomorus maculatus,Spanish mackerel,US Southeast and Gulf,172436,Tuna and Marlin
SPANMACKSETO,Scomberomorus niphonius,Japanese Spanish mackerel,Japan,172446,Tuna and Marlin
