stockid,tsn,scientificname,commonname,areaid
PSALMSHIPLEY,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SHIPLEY
PSALMSITKAS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SITKAS
PSALMSITUKR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SITUKR
PSALMSKAGPS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-SKAGPS
PSALMSKEENALR,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SKEENALR
PSALMSLIAMMON,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SLIAMMON
PSALMSLOCUM,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SLOCUM
PSALMSNAKER,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SNAKER
PSALMSNOHPS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-SNOHPS
PSALMSQUAMISH,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SQUAMISH
PSALMSTEPHENS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-STEPHENS
PSALMSTIKINE,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-STIKINE
PSALMSTILLAPS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-STILLAPS
PSALMSUNDC,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SUNDC
PSALMSUTILC,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-SUTILC
PSALMSWADMIR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-SWADMIR
PSALMTANAKEE,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-TANAKEE
PSALMTEBENKOF,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-TEBENKOF
PSALMTHOMPSON,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-THOMPSON
PSALMTOBAI,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-TOBAI
PSALMTOTEMB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-TOTEMB
PSALMTUTKASD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-TUTKASD
PSALMUCOOKI,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-UCOOKI
PSALMUNALAKLEETNS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-UNALAKLEETNS
PSALMUNIONB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-UNIONB
PSALMVANCI,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-VANCI
PSALMWADMIRAL,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WADMIRAL
PSALMWBEHM,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WBEHM
PSALMWCRAWFISH,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WCRAWFISH
PSALMWHALEB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WHALEB
PSALMWHALEP,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WHALEP
PSALMWINDYC,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WINDYC
PSALMWKAMPH,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-WKAMPH
PSALMWKAMPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-WKAMPW
PSALMWOODR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-WOODR
PSANDLIMKB,630414,Ammodytes personatus,Pacific sandlance,Japan-FAJ-IMKB
PSHRMPMEDGSA6,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA6
PSLANCESYS,171672,Ammodytes hexapterus,Pacific sand lance,Japan-FAJ-SYS
PSLANDLSETOE,630414,Ammodytes personatus,Pacific sandlance,Japan-FAJ-SETOE
PSOLEPCOAST,172868,Eopsetta jordani,Petrale sole,USA-NMFS-PCOAST
PTOOTHFISHCH,642807,Dissostichus eleginoides,Patagonian toothfish,multinational-SUBPESCA-CFP-SCH-ARG
PTOOTHFISHMI,642807,Dissostichus eleginoides,Patagonian toothfish,Australia-AFMA-MI
PTOOTHFISHPEI,642807,Dissostichus eleginoides,Patagonian toothfish,South Africa-DETMCM-PEI
QROCKPCOASTIN,166726,Sebastes maliger,Quillback rockfish,Canada-DFO-PCOASTIN
QROCKPCOASTOUT,166726,Sebastes maliger,Quillback rockfish,Canada-DFO-PCOASTOUT
QUAHATLC,81343,Arctica islandica,Ocean quahog,USA-NMFS-ATLC
RBRMECS,647892,Pagrus major,Red seabream,Japan-FAJ-ECS
RBRMIX,169212,Pagellus bogaraveo,Red seabream,multinational-ICES-IX
RBRMMEDGSA1-3,169212,Pagellus bogaraveo,Red seabream,multinational-GFCM-GSA1-3
RBRMSETOE,647892,Pagrus major,Red seabream,Japan-FAJ-SETOE
RBRMSETOW,647892,Pagrus major,Red seabream,Japan-FAJ-SETOW
RBRMVI-VII-VIII,169212,Pagellus bogaraveo,Red seabream,multinational-ICES-VI-VII-VIII
RBRMX,169212,Pagellus bogaraveo,Red seabream,multinational-ICES-X
RDEEPCRABNWATL,620992,Chaceon quinquedens,Red deepsea crab,USA-NMFS-NWATL
RDSHRMPMEDGSA1,96062,Aristeus antennatus,Red shrimp,multinational-GFCM-GSA1
RDSHRMPMEDGSA10,96062,Aristeus antennatus,Red shrimp,multinational-GFCM-GSA10
