stockid,tsn,scientificname,commonname,areaid
PCODNPAC,164711,Gadus macrocephalus,Pacific cod,Japan-FAJ-NPAC
PCODSOJ,164711,Gadus macrocephalus,Pacific cod,Japan-FAJ-SOJ
PCODWCVANI,164711,Gadus macrocephalus,Pacific cod,Canada-DFO-WCVANI
PERCHEBSAI,166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-EBSAI
PERCHQCI,166707,Sebastes alutus,Pacific ocean perch,Canada-DFO-HG
PERCHWCVANI,166707,Sebastes alutus,Pacific ocean perch,Canada-DFO-WCVANI
PGEODWA,81777,Panopea generosa,Pacific geoduck,USA-WASTATE-WA
PHAKEPCOAST,164792,Merluccius productus,Pacific hake,USA-NMFS-PCOAST
PHALNPAC,172932,Hippoglossus stenolepis,Pacific halibut,multinational-IPHC-NPAC
PHFLOUNNHOKK,172966,Cleisthenes herzensteini,Pointhead flounder,Japan-FAJ-NHOKK
PHFLOUNSOJ,172966,Cleisthenes herzensteini,Pointhead flounder,Japan-FAJ-SOJ
PICAMEDGSA25,647991,Spicara smaris,Picarel,multinational-GFCM-GSA25
PILCHPJPN,551222,Sardinops melanostictus,Japanese sardine,Japan-FAJ-PJPN
PILCHTSST,551222,Sardinops melanostictus,Japanese sardine,Japan-FAJ-TSST
PINKSHRIMPGM,551574,Farfantepenaeus duorarum,Pink shrimp,USA-NMFS-GM
PLAIC2123,172902,Pleuronectes platessa,European plaice,multinational-ICES-2123
PLAIC2432,172902,Pleuronectes platessa,European plaice,multinational-ICES-2432
PLAIC7d,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIId
PLAICCELT,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIf-g
PLAICECHW,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIe
PLAICIIIa,172902,Pleuronectes platessa,European plaice,multinational-ICES-IIIa
PLAICIS,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIa
PLAICNS,172902,Pleuronectes platessa,European plaice,multinational-ICES-IV
PLAICVIIbc,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIbc
PLAICVIIh-k,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIIh-k
PLAICVIII-IXa,172902,Pleuronectes platessa,European plaice,multinational-ICES-VIII-IXa
POLL3Ps,164727,Pollachius virens,Pollock,Canada-DFO-3Ps
POLL4VWX,164727,Pollachius virens,Pollock,Canada-DFO-4VWX
POLL4VWX5,164727,Pollachius virens,Pollock,Canada-DFO-4VWX5
POLL5YZ,164727,Pollachius virens,Pollock,USA-NMFS-5YZ
POLLFAPL,164727,Pollachius virens,Pollock,multinational-ICES-Vb1
POLLIEG,164727,Pollachius virens,Pollock,multinational-ICES-Va
POLLNEAR,164727,Pollachius virens,Pollock,multinational-ICES-I-II
POLLNS-VI-IIIa,164727,Pollachius virens,Pollock,multinational-ICES-IIIa-IV-VI
POPERCHGA,166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-GA
POPERCHPCOAST,166707,Sebastes alutus,Pacific ocean perch,USA-NMFS-PCOAST
PORSHARATL,159911,Lamna nasus,Porbeagle shark,Canada-DFO-ATL
PORSHARNEATL,159911,Lamna nasus,Porbeagle shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
PRCODMEDGSA9,164754,Trisopterus minutus,Poor cod,multinational-GFCM-GSA9
PSALMA1,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A1
PSALMA10,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A10
PSALMA12,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A12
PSALMA13,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A13
PSALMA21-27,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A21-27
PSALMA2E,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A2E
PSALMA2W,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A2W
PSALMA3,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A3
PSALMA4,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A4
PSALMA5,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A5
PSALMA6,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A6
PSALMA7,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A7
PSALMA8,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A8
PSALMA9,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-A9
PSALMAFFLECKCI,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AFFLECKCI
PSALMAFOGNAKD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AFOGNAKD
PSALMAIALIKL,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AIALIKL
PSALMAKPNWD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AKPNWD
PSALMAKPSESCD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AKPSESCD
PSALMAKPSWUD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AKPSWUD
PSALMALITAKD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ALITAKD
PSALMAMAKC,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AMAKC
PSALMAMURPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-AMURPW
PSALMANADYRPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-ANADYRPW
PSALMANAN,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ANAN
PSALMATNARKO,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-ATNARKO
PSALMAUKEC,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-AUKEC
PSALMBARABARA,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BARABARA
PSALMBARANOFE,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BARANOFE
PSALMBKAMISHAKR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BKAMISHAKR
PSALMBONDS,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BONDS
PSALMBRUINR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BRUINR
PSALMBURNETT,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-BURNETT
PSALMBURR,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BURR
PSALMBUTEI,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BUTEI
PSALMBWLAB,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-BWLAB
PSALMCHIGNIKBD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKBD
PSALMCHIGNIKCD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKCD
PSALMCHIGNIKED,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKED
PSALMCHIGNIKWD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHIGNIKWD
PSALMCHINAP,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-CHINAP
PSALMCHV,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-CHV
PSALMCOGHILLD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-COGHILLD
PSALMDOGFISH,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-DOGFISH
PSALMDOSEWHC,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-DOSEWHC
PSALMDUCKA,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-DUCKA
PSALMDUNGENHC,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-DUNGENHC
PSALMEBEHM,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-EBEHM
PSALMEDALL,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-EDALL
PSALMEKAMPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-EKAMPW
PSALMELIZAH,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ELIZAH
PSALMESAKPH,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-ESAKPH
PSALMESAKPW,161975,Oncorhynchus gorbuscha,Pink salmon,Russia-TINRO-ESAKPW
PSALMESHAMYD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ESHAMYD
PSALMESND,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-ESND
PSALMFARRAGUT,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-FARRAGUT
PSALMFRESHWB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-FRESHWB
PSALMGEOHOWE,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-GEOHOWE
PSALMGOLOVIN,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-GOLOVIN
PSALMHARR,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-HARR
PSALMHETTA,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HETTA
PSALMHHAMMAHC,161975,Oncorhynchus gorbuscha,Pink salmon,USA-WASTATE-HHAMMAHC
PSALMHOMES,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HOMES
PSALMHOMFROY,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-HOMFROY
PSALMHOOKC,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-HOOKC
PSALMHOONAHS,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HOONAHS
PSALMHOUGHTON,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HOUGHTON
PSALMHSPH,161975,Oncorhynchus gorbuscha,Pink salmon,Japan-FAJ-HSPH
PSALMHSPW,161975,Oncorhynchus gorbuscha,Pink salmon,Japan-FAJ-HSPW
PSALMHUMPCY,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HUMPCY
PSALMHUMPYCCISD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-HUMPYCCISD
PSALMIGUSHIK,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-IGUSHIK
PSALMJAMESLOD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-JAMESLOD
PSALMJCPH,161975,Oncorhynchus gorbuscha,Pink salmon,Japan-FAJ-JCPH
PSALMJCPW,161975,Oncorhynchus gorbuscha,Pink salmon,Japan-FAJ-JCPW
PSALMJERVISI,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-JERVISI
PSALMJOHNS,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-JOHNS
PSALMJOHNST,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-JOHNST
PSALMKASAAN,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-KASAAN
PSALMKELPB,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-KELPB
PSALMKINGCOME,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-KINGCOME
PSALMKLAWOCK,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-KLAWOCK
PSALMKNIGHT,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-KNIGHT
PSALMKODIAKMD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-KODIAKMD
PSALMKODIAKWD,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-KODIAKWD
PSALMKUSKOKWIM,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-KUSKOKWIM
PSALMLISIANSKI,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-LISIANSKI
PSALMLKAMR,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-LKAMR
PSALMLOUGHB,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-LOUGHB
PSALMLYNNCD112,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-LYNNCD112
PSALMLYNNCD115,161975,Oncorhynchus gorbuscha,Pink salmon,USA-AKSTATE-LYNNCD115
PSALMMALAS,161975,Oncorhynchus gorbuscha,Pink salmon,Canada-DFO-MALAS
