stockid,tsn,scientificname,commonname,areaid,country,areatype,areacode,areaname,alternateareaname
CABEZNCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-NCAL,USA,NMFS,NCAL,Northern California,NA
CABEZORECOAST,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-ORECOAST,USA,NMFS,ORECOAST,Oregon Coast,NA
CABEZSCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-SCAL,USA,NMFS,SCAL,Southern California,NA
CABEZWASH,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-WASH,USA,NMFS,WASH,Washington,NA
CALSCORPSCAL,166827,Scorpaena guttata,California scorpionfish,USA-NMFS-SCAL,USA,NMFS,SCAL,Southern California,NA
CAPE2J3KL,162035,Mallotus villosus,Capelin,Canada-DFO-2J3KL,Canada,DFO,2J3KL,Southern Labrador-Eastern Newfoundland,NA
CAPE4RST,162035,Mallotus villosus,Capelin,Canada-DFO-4RST,Canada,DFO,4RST,Gulf of St. Lawrence,NA
CAPEIIa-V-XIV,162035,Mallotus villosus,Capelin,multinational-ICES-IIa-V-XIV,multinational,ICES,IIa-V-XIV,ICES 2a-5-14,NA
CAPENOR,162035,Mallotus villosus,Capelin,multinational-ICES-I,multinational,ICES,I,Barents Sea,NA
CATCWAGAB,-987,Arius spp,Catfish,multinational-FAO-CWAGAB,multinational,FAO,CWAGAB,Central West Africa Gabon,NA
CATCWAGIN-LBR,-987,Arius spp,Catfish,multinational-FAO-CWAGIN-LBR,multinational,FAO,CWAGIN-LBR,Central West Africa Guinea-Liberia,NA
CHAKESA,164798,Merluccius capensis,Shallow water cape hake,South Africa-DETMCM-SA,South Africa,DETMCM,SA,South Africa,NA
CHERRCHVX,615818,Clupea bentincki,Chilean herring,Chile-SUBPESCA-CH-CS,Chile,SUBPESCA,CH-CS,Central-Southern Chile,NA
CHILISPCOAST,166722,Sebastes goodei,Chilipepper,USA-NMFS-SPCOAST,USA,NMFS,SPCOAST,Southern Pacific Coast,NA
CHMACKCWAGAB-AGO,168595,Trachurus trecae,Cunene horse mackerel,multinational-FAO-CWAGAB-AGO,multinational,FAO,CWAGAB-AGO,Central West Africa Gabon-Angola,NA
CHMACKCWAGNB-LBR,168595,Trachurus trecae,Cunene horse mackerel,multinational-FAO-CWAGNB-LBR,multinational,FAO,CWAGNB-LBR,Central West Africa Guinea Bissau-Liberia,NA
CHMACKNWA,168595,Trachurus trecae,Cunene horse mackerel,multinational-FAO-NWA,multinational,FAO,NWA,North West Africa,NA
CHROCKCPCOAST,166731,Sebastes nebulosus,China rockfish,USA-NMFS-CPCOAST,USA,NMFS,CPCOAST,Central Pacific Coast,NA
CHROCKNPCOAST,166731,Sebastes nebulosus,China rockfish,USA-NMFS-NPCOAST,USA,NMFS,NPCOAST,Northern Pacific Coast,NA
