stock_name,scientific_name,common_name,region,tsn,fishery_type,age,age_type,source
GRNSTROCKPCOAST,Sebastes elongatus,Greenstriped rockfish,US West Coast,166717,Rockfish,54,max reported,FishBase
GRSNAPGM,Lutjanus griseus,Gray snapper,US Southeast and Gulf,168848,Other Marine,21,max reported,FishBase
GSTRGZRSTA7,Kathetostoma giganteum,Giant stargazer,New Zealand,171064,Other Marine,20,max reported,FishBase
HAD4X5Y,Melanogrammus aeglefinus,Haddock,Canada East Coast,164744,Gadids,20,max reported,FishBase
HAD5Y,Melanogrammus aeglefinus,Haddock,US East Coast,164744,Gadids,20,max reported,FishBase
HADFAPL,Melanogrammus aeglefinus,Haddock,Europe non EU,164744,Gadids,20,max reported,FishBase
HADGB,Melanogrammus aeglefinus,Haddock,US East Coast,164744,Gadids,20,max reported,FishBase
HADICE,Melanogrammus aeglefinus,Haddock,Europe non EU,164744,Gadids,20,max reported,FishBase
HADIS,Melanogrammus aeglefinus,Haddock,European Union,164744,Gadids,20,max reported,FishBase
HADNEAR,Melanogrammus aeglefinus,Haddock,Europe non EU,164744,Gadids,20,max reported,FishBase
HADNS-IIIa-VIa,Melanogrammus aeglefinus,Haddock,European Union,164744,Gadids,20,max reported,FishBase
HADROCK,Melanogrammus aeglefinus,Haddock,European Union,164744,Gadids,20,max reported,FishBase
HADVIIb-k,Melanogrammus aeglefinus,Haddock,European Union,164744,Gadids,20,max reported,FishBase
HAKENRTN,Merluccius merluccius,Hake,European Union,164795,Gadids,20,max reported,FishBase
HAKESOTH,Merluccius merluccius,Hake,European Union,164795,Gadids,20,max reported,FishBase
HAKESPPSAF,Merluccius spp,Hake spp,Southern Africa,-963,Gadids,16,subbed from similar species,NA
HERR2224IIIa,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERR2529-32,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERR30-31,Clupea harengus,Herring,European Union,161722,Forage Fish,25,max reported,FishBase
HERR4RFA,Clupea harengus,Herring,Canada East Coast,161722,Forage Fish,25,max reported,FishBase
HERR4RSP,Clupea harengus,Herring,Canada East Coast,161722,Forage Fish,25,max reported,FishBase
HERR4TFA,Clupea harengus,Herring,Canada East Coast,161722,Forage Fish,25,max reported,FishBase
HERR4TSP,Clupea harengus,Herring,Canada East Coast,161722,Forage Fish,25,max reported,FishBase
HERRCC,Clupea pallasii,Pacific herring,Canada West Coast,551209,Forage Fish,19,max reported,FishBase
HERRIsum,Clupea harengus,Herring,Europe non EU,161722,Forage Fish,25,max reported,FishBase
