stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
BIGEYEEPAC, 172428,Thunnus obesus,Bigeye tuna,multinational-IATTC-EPAC,Bigeye tuna Eastern Pacific,Pacific Ocean,Japan,77,JPN,b172621e-ee5a-3f2c-a914-02003f4a8c2b,1,BIGEYEEPACIFIC,Current
BIGEYEIO, 172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Bigeye tuna Indian Ocean,Indian Ocean,Indonesia,51,IDN,9b3ab580-56fe-359b-9c36-c0b408a408af,0,,Current
BIGHTREDSE, 622143,Centroberyx gerrardi,Bight redfish,Australia-AFMA-SE,Bight redfish Southeast Australia,Australia,Australia,81,AUS,,0,,Current
BIGSKA3CD, 160848,Raja binoculata,Big skate,Canada-DFO-WCVANI,Big skate West Coast of Vancouver Island,Canada West Coast,Canada,67,CAN,,0,NA,Current
BIGSKA4B, 160848,Raja binoculata,Big skate,Canada-DFO-SOG,Big skate Strait of Georgia,Canada West Coast,Canada,67,CAN,,0,NA,Current
BIGSKA5AB, 160848,Raja binoculata,Big skate,Canada-DFO-5AB,Big skate Queen Charlotte Sound,Canada West Coast,Canada,67,CAN,,0,NA,Current
BIGSKA5CDE, 160848,Raja binoculata,Big skate,Canada-DFO-HS,Big skate Hecate Strait,Canada West Coast,Canada,67,CAN,,0,NA,Current
BJMACKXa2, 168593,Trachurus picturatus,Blue jack mackerel,multinational-ICES-Xa2,Blue jack mackerel Azores,European Union,Portugal,27,PRT,,0,NA,Current
BKCDLFENI, 168298,Epigonus telescopus,Black cardinalfish,New Zealand-MFish-ENI,Black cardinalfish East coast of North Island,New Zealand,New Zealand,81,NZL,2e0ee3ba-70c1-3b48-9bbe-497bfc427080,0,,Current
BKINGCRABPI,  97936,Paralithodes platypus,Blue king crab,USA-NMFS-PI,Blue king crab Pribilof Islands,US Alaska,USA,67,USA,,0,NA,Current
BKINGCRABSMI,  97936,Paralithodes platypus,Blue king crab,USA-NMFS-SMI,Blue king crab Saint Matthews Island,US Alaska,USA,67,USA,f105bcf5-0069-3527-adeb-4da620b4f674,0,NA,Current
