stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,inmyersdb,myersstockid,state
SBWHITARGS, 164775,Micromesistius australis,Southern blue whiting,Argentina-CFP-ARG-S,Southern blue whiting Southern Argentina,South America,Argentina,41,ARG,,0,NA,Current
SBWHITCH, 164775,Micromesistius australis,Southern blue whiting,Chile-SUBPESCA-CH-CS,Southern blue whiting Central-Southern Chile,South America,Chile,87,CHL,a157d6da-f670-399d-b5ef-f767945d2cb8,0,,Current
SCADSPPCWAGNB-LBR,   -962,Decapterus spp,Scad spp,multinational-FAO-CWAGNB-LBR,Scad spp Central West Africa Guinea Bissau-Liberia,West Africa,Guinea,34,GIN,,0,NA,Current
SCALL3Ps,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-3Ps,Sea scallop St. Pierre Bank,Canada East Coast,Canada,21,CAN,,0,NA,Current
SCALL4T,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-4T,Sea scallop Southern Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,,0,NA,Current
SCALL5ZMAB,  79718,Placopecten magellanicus,Sea scallop,USA-NMFS-5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,US East Coast,USA,21,USA,,0,NA,Current
SCALLGB,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-5Z,Sea scallop Georges Bank,Canada East Coast,Canada,21,CAN,,0,,Current
SCALLNBB,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-NBB,Sea scallop North Brown Bank,Canada East Coast,Canada,21,CAN,,0,NA,Current
SCALLSFA16-20,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-SCFA16-20,Sea scallop Scallop Fishing Areas 16-20,Canada East Coast,Canada,21,CAN,,0,NA,Current
SCALLSPA1-6,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-SPA1-6,Sea scallop Bay of Fundy (SPA 1-6),Canada East Coast,Canada,21,CAN,0e8f4a69-32db-3d77-a1b6-65967adccf2a,0,NA,Current
SCALLWSFA29,  79718,Placopecten magellanicus,Sea scallop,Canada-DFO-WSFA29,Sea scallop West Scallop Fishing Area 29,Canada East Coast,Canada,21,CAN,,0,NA,Current
SCHHEADATL, 160508,Sphyrna lewini,Scalloped hammerhead,USA-NMFS-ATL,Scalloped hammerhead Atlantic,US East Coast,USA,31,USA,,0,NA,Current
SCMPBP, 552935,Metanephrops challengeri,Scampi,New Zealand-MFish-BOP,Scampi Bay of Plenty,New Zealand,New Zealand,81,NZL,839299a1-0d70-304e-bb8b-4321ef1303c6,0,,Current
SCMPMB, 552935,Metanephrops challengeri,Scampi,New Zealand-MFish-MB,Scampi Mernoo Bank,New Zealand,New Zealand,81,NZL,de224c3e-79b9-37b5-8e8f-f64e6062b2ea,0,NA,Current
SCMPWHB, 552935,Metanephrops challengeri,Scampi,New Zealand-MFish-WHB,Scampi Wairarapa/Hawke Bay,New Zealand,New Zealand,81,NZL,4f134cd3-c7ef-3625-aacd-900add700f51,0,,Current
SCUPNWATLC, 169182,Stenotomus chrysops,Scup,USA-NMFS-NWATLC,Scup Northwestern Atlantic Coast,US East Coast,USA,21,USA,944d5133-9217-368b-aea3-fb5dc8312b20,1,SCUP,Current
SDOG4VWX5, 160617,Squalus acanthias,Spiny dogfish,Canada-DFO-4VWX5,"Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank",Canada East Coast,Canada,21,CAN,,0,NA,Current
SDOGATLC, 160617,Squalus acanthias,Spiny dogfish,USA-NMFS-ATLC,Spiny dogfish Atlantic Coast,US East Coast,USA,21,USA,,1,SDOGNWATL,Current
SDOGBLKGSA29, 160617,Squalus acanthias,Spiny dogfish,multinational-GFCM-GSA29,Spiny dogfish Black Sea,Mediterranean-Black Sea,Turkey,37,TUR,18298caf-6352-3a54-8ed8-9b1de2f96bc2,0,NA,Current
SDRAYVI-VII, 564128,Leucoraja circularis,Sandy ray,multinational-ICES-VI-VII,Sandy ray ICES 6-7,European Union,France,27,FRA,,0,NA,Current
SEELNSSA1, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA1,Sand eel Sandeel Area 1,European Union,Denmark,27,DNK,e6012752-e0cf-36ae-b2bb-877b61c88690,0,,Current
SEELNSSA2, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA2,Sand eel Sandeel Area 2,European Union,Denmark,27,DNK,7ebdba30-f325-3d38-b900-15c74dce88da,0,,Current
SEELNSSA3, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA3,Sand eel Sandeel Area 3,European Union,Denmark,27,DNK,1489ab21-cd94-3bd3-8a67-7937a199073e,0,,Current
SEELNSSA4, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA4,Sand eel Sandeel Area 4,European Union,Denmark,27,DNK,,0,NA,Current
SEELNSSA5, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA5,Sand eel Sandeel Area 5,European Union,Norway,27,NOR,,0,NA,Current
SEELNSSA6, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA6,Sand eel Sandeel Area 6,European Union,Denmark,27,DNK,,0,NA,Current
SEELNSSA7, 171671,Ammodytes spp,Sand eel,multinational-ICES-SA7,Sand eel Sandeel Area 7,European Union,Norway,27,NOR,,0,NA,Current
SEELVIa, 171671,Ammodytes spp,Sand eel,multinational-ICES-VIa,Sand eel West of Scotland,European Union,Great Britain,27,GBR,,0,NA,Current
SERAYVIIde, 160882,Raja microocellata,Smalleyed ray,multinational-ICES-VIIde,Smalleyed ray ICES 7de,European Union,Great Britain,27,GBR,,0,NA,Current
SERAYVIIf-g, 160882,Raja microocellata,Smalleyed ray,multinational-ICES-VIIf-g,Smalleyed ray Celtic Sea,European Union,Great Britain,27,GBR,,0,NA,Current
SFLOUNMATLC, 172735,Paralichthys dentatus,Summer flounder,USA-NMFS-MATLC,Summer flounder Mid-Atlantic Coast,US East Coast,USA,21,USA,ad5d13f4-f035-3def-9a80-c551bb6b7a61,1,SFLOUNDMAB,Current
SFMAKONPAC, 159924,Isurus oxyrinchus,Shortfin mako,USA-NMFS-NPAC,Shortfin mako North Pacific,Pacific Ocean,USA,77,USA,,0,NA,Current
SFMAKONWPAC, 159924,Isurus oxyrinchus,Shortfin mako,multinational-UNKNOWN-NWPAC,Shortfin mako Nothwest Pacific Ocean,Pacific Ocean,Japan,61,JPN,40f5d27d-e0fa-387a-a65a-ec92c9935c20,0,,Current
SGRAYVI-VII, 564134,Leucoraja fullonica,Shagreen ray,multinational-ICES-VI-VII,Shagreen ray ICES 6-7,European Union,France,27,FRA,,0,NA,Current
SHAKE4VWX, 164791,Merluccius bilinearis,Silver hake,Canada-DFO-4VWX,Silver hake Scotian Shelf and Bay of Fundy,Canada East Coast,Canada,21,CAN,,0,NA,Current
SHAKEGOMNGB, 164791,Merluccius bilinearis,Silver hake,USA-NMFS-5YZ,Silver hake Gulf of Maine / Georges Bank,US East Coast,USA,21,USA,3f7ed3b7-a1c4-332d-bbfb-39b118b48dbe,0,NA,Current
SHAKESGBMATL, 164791,Merluccius bilinearis,Silver hake,USA-NMFS-SGBMATL,Silver hake Southern Georges Bank / Mid-Atlantic,US East Coast,USA,21,USA,,1,SHAKEMAB,Current
SHAKOIMKB,   -964,Oratosquilla oratoria,Shako,Japan-FAJ-IMKB,Shako Ise and Mikawa Bay,Japan,Japan,61,JPN,4e2aeeb5-c50b-3a35-945e-1611a24e560f,0,NA,Current
SHCROCKPCOAST, 166744,Sebastes zacentrus,Sharpchin rockfish,USA-NMFS-PCOAST,Sharpchin rockfish Pacific Coast,US West Coast,USA,67,USA,,0,NA,Current
SHSPPNEATL, 160226,Mustelus spp,Smooth hound,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Smooth hound Northeast Atlantic,European Union,France,27,FRA,,0,NA,Current
SILVERFISHSE, 172534,Seriolella punctata,Silverfish,Australia-AFMA-SE,Silverfish Southeast Australia,Australia,Australia,81,AUS,,0,,Current
SKJCIO, 172401,Katsuwonus pelamis,Skipjack tuna,multinational-IOTC-IO,Skipjack tuna Indian Ocean,Indian Ocean,Indonesia,57,IDN,a7a7c506-dd40-33e7-bf05-5cba18181807,0,,Current
SKJCWPAC, 172401,Katsuwonus pelamis,Skipjack tuna,multinational-WCPFC-CWPAC,Skipjack tuna Central Western Pacific Ocean,Pacific Ocean,Japan,71,JPN,,0,NA,Current
SKJEATL, 172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Skipjack tuna Eastern Atlantic,Atlantic Ocean,Spain,34,ESP,1e79e879-5377-3a9c-9f20-853e77621672,0,,Current
SKJEPAC, 172401,Katsuwonus pelamis,Skipjack tuna,multinational-IATTC-EPAC,Skipjack tuna Eastern Pacific,Pacific Ocean,Ecuador,77,ECU,9b36373a-ea6d-336a-8e0d-567555080aa4,0,NA,Current
SKJWATL, 172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-WATL,Skipjack tuna Western Atlantic,Atlantic Ocean,Brazil,41,BRA,4b389e78-1065-30a8-a57a-aaced3d91361,0,,Current
SKSNAPCARIB, 168861,Lutjanus vivanus,Silk snapper,USA-NMFS-CARIB,Silk snapper Caribbean,US Southeast and Gulf,USA,31,USA,,0,NA,Current
SMDOGATL, 160230,Mustelus canis,Smooth dogfish,USA-NMFS-ATL,Smooth dogfish Atlantic,US East Coast,USA,21,USA,457445fc-f0b6-3a61-9da7-b98f96f07729,0,NA,Current
SMOOTHOREOBP, 625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-BP,Smooth oreo Bounty Plateau,New Zealand,New Zealand,81,NZL,,0,,Current
SMOOTHOREOCR, 625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-CR,Smooth oreo Chatham Rise,New Zealand,New Zealand,81,NZL,,0,,Current
SMOOTHOREOEPR, 625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-EPR,Smooth oreo East Pukaki Rise,New Zealand,New Zealand,81,NZL,43838a0a-a6fc-35f7-a8fb-b17f4302f66e,0,,Current
SMOOTHOREOSLD, 625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-SLD,Smooth oreo Southland,New Zealand,New Zealand,81,NZL,,0,,Current
SMOOTHOREOWECR, 625280,Pseudocyttus maculatus,Smooth oreo,New Zealand-MFish-WECR,Smooth oreo West end of Chatham Rise,New Zealand,New Zealand,81,NZL,,0,,Current
SMOOTHSKA2J3K, 564151,Malacoraja senta,Smooth skate,Canada-DFO-2J3K,Smooth skate NAFO Division 2J3K,Canada East Coast,Canada,21,CAN,8f55a65c-2426-3b7a-9609-f238dd899c64,0,NA,Current
SMOOTHSKA4T, 564151,Malacoraja senta,Smooth skate,Canada-DFO-4T,Smooth skate Southern Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,,0,NA,Current
SMSHRMPMEDGSA10,  99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA10,Spottail mantis shrimp South Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
SMSHRMPMEDGSA17,  99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA17,Spottail mantis shrimp Northern Adriatic Sea,Mediterranean-Black Sea,Italy,37,ITA,11fc1148-f35f-3cfa-9347-80bbf68a2c80,0,,Deprecated
SMSHRMPMEDGSA17-18,  99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA17-18,"Spottail mantis shrimp Adriatic Sea (GSA 17,18)",Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
SMSHRMPMEDGSA9,  99152,Squilla mantis,Spottail mantis shrimp,multinational-GFCM-GSA9,Spottail mantis shrimp Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
SMULLMEDGSA15-16, 169418,Mullus surmuletus,Surmullet,multinational-GFCM-GSA15-16,"Surmullet Malta Island and South of Sicily (GSA 15, 16)",Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
SMULLMEDGSA5, 169418,Mullus surmuletus,Surmullet,multinational-GFCM-GSA5,Surmullet Balearic Island,Mediterranean-Black Sea,Spain,37,ESP,59ab5dda-f498-33ad-8dcf-e2a77b4b3e09,0,NA,Current
SMULLMEDGSA9, 169418,Mullus surmuletus,Surmullet,multinational-GFCM-GSA9,Surmullet Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,Italy,37,ITA,,0,NA,Current
SNAPSAUSNSG, 169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSNSG,Snapper Northern Spencer Gulf,Australia,Australia,57,AUS,0a6112ae-1fb3-382f-9834-b4b56b5c36c7,0,,Current
SNAPSAUSSGSV, 169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSSGSV,Snapper Southern Gulf St. Vincent,Australia,Australia,57,AUS,0f9c7046-8619-3ca4-ae68-d70c8a307cb0,0,,Current
SNAPSAUSSSG, 169231,Chrysophrys auratus,Snapper,Australia-SARDI-SAUSSSG,Snapper Southern Spencer Gulf,Australia,Australia,57,AUS,117b2228-6997-3141-85c8-3a3825d93db7,0,,Current
SNOSESHARATL, 160200,Rhizoprionodon terraenovae,Atlantic sharpnose shark,USA-NMFS-ATL,Atlantic sharpnose shark Atlantic,US Southeast and Gulf,USA,31,USA,c8bf06d5-6bac-3fc5-bfc3-3f185277af89,0,NA,Current
SNOWCRAB2HJ,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-2HJ,Snow crab Division 2HJ,Canada East Coast,Canada,21,CAN,e9c01341-7d65-3214-a98e-daa59ef2ccdf,0,NA,Current
SNOWCRAB2HJ3KLNOP4R,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-2HJ3KLNOP4R,Snow crab Division 2HJ3KLNOP4R,Canada East Coast,Canada,21,CAN,915cfb52-8f5e-3886-a40c-424ba2c98dba,0,,Deprecated
SNOWCRAB2J,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-2J,Snow crab Division 2J,Canada East Coast,Canada,21,CAN,6a597323-cfc2-30a0-97fb-117b1d867d8a,0,,Deprecated
SNOWCRAB3K,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-3K,Snow crab Division 3K,Canada East Coast,Canada,21,CAN,974019bd-99ea-3667-8bab-54c9f77b2f5f,0,,Current
SNOWCRAB3LNO,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-3LNO,Snow crab Division 3LNO,Canada East Coast,Canada,21,CAN,58c35001-8f73-3336-94e0-de9edd434550,0,NA,Current
SNOWCRAB3NO,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-3NO,Snow crab Division 3NO,Canada East Coast,Canada,21,CAN,d3eb58eb-1ce2-3c7c-9ef4-e58be754dde9,0,,Deprecated
SNOWCRAB3Ps,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-3Ps,Snow crab St. Pierre Bank,Canada East Coast,Canada,21,CAN,0cddf03e-4e04-3f54-83bd-648eace2ca3b,0,,Current
SNOWCRAB4R3Pn,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-4R3Pn,Snow crab Division 4R3Pn,Canada East Coast,Canada,21,CAN,b5bec544-5af1-31d7-b308-f397dd7a4674,0,NA,Current
SNOWCRABBS,  98428,Chionoecetes opilio,Snow crab,USA-NMFS-BS,Snow crab Bering Sea,US Alaska,USA,67,USA,298f1555-f61c-3137-865a-a395df0e49c3,0,NA,Current
SNOWCRABESJ,  98428,Chionoecetes opilio,Snow crab,Japan-FAJ-ESJ,Snow crab Sea of Japan East,Japan,Japan,61,JPN,0108d7b0-b780-3fbe-b6ba-a7cb87ed2520,0,NA,Current
SNOWCRABHOKK,  98428,Chionoecetes opilio,Snow crab,Japan-FAJ-HOKK,Snow crab Hokkaido,Japan,Japan,61,JPN,450bbd0e-7f72-3418-947c-e2bd605c957e,0,NA,Current
SNOWCRABNPAC,  98428,Chionoecetes opilio,Snow crab,Japan-FAJ-NPAC,Snow crab North Pacific,Japan,Japan,61,JPN,408fbf9b-a647-3623-aeb5-430ff24bf13a,0,NA,Current
SNOWCRABOKS,  98428,Chionoecetes opilio,Snow crab,Japan-FAJ-OKS,Snow crab Okhotsk Sea,Japan,Japan,61,JPN,15a534b1-20c4-39ad-a141-4babf4d6be6e,0,NA,Current
SNOWCRABSCMA12-17,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-SCMA12-17,Snow crab Northern Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,8f181ece-a831-3ad7-aae8-8069c4d09371,0,NA,Current
SNOWCRABSGSL,  98428,Chionoecetes opilio,Snow crab,Canada-DFO-4T,Snow crab Southern Gulf of St. Lawrence,Canada East Coast,Canada,21,CAN,891fee13-b266-36c8-a417-3df3239d0c43,0,,Current
SNOWCRABWSJ,  98428,Chionoecetes opilio,Snow crab,Japan-FAJ-WSJ,Snow crab Sea of Japan West,Japan,Japan,61,JPN,0ffbc360-4398-39c3-9800-8f5dd44bdaae,0,NA,Current
SNOWGROUPSATLC, 167705,Epinephelus niveatus,Snowy grouper,USA-NMFS-SATLC,Snowy grouper Southern Atlantic coast,US Southeast and Gulf,USA,31,USA,0c7c8920-fd59-3150-b84d-1fd8fdb3bf6d,0,NA,Current
SNROCKPCOAST, 166716,Sebastes diploproa,Splitnose rockfish,USA-NMFS-PCOAST,Splitnose rockfish Pacific Coast,US West Coast,USA,67,USA,,0,,Current
SOLECS, 173002,Solea solea,Common sole,multinational-ICES-VIIf-g,Common sole Celtic Sea,European Union,Belgium,27,BEL,97fb0075-50e0-3a43-88f0-7f9944eaad2a,1,SOLECS,Current
SOLECWAAGO,   -986,Cynoglossus spp,Sole,multinational-FAO-CWAAGO,Sole Central West Africa Angola,West Africa,Angola,34,AGO,,0,NA,Current
SOLECWAGAB-COD,   -986,Cynoglossus spp,Sole,multinational-FAO-CWAGAB-COD,Sole Central West Africa Gabon-Congo DR,West Africa,Nigeria,34,NGA,,0,NA,Deprecated
SOLECWAGIN-LBR,   -986,Cynoglossus spp,Sole,multinational-FAO-CWAGIN-LBR,Sole Central West Africa Guinea-Liberia,West Africa,Guinea,34,GIN,,0,NA,Deprecated
SOLECWAGNB-GIN,   -986,Cynoglossus spp,Sole,multinational-FAO-CWAGNB-GIN,Sole Central West Africa Guinea Bissau-Guinea,West Africa,Guinea,34,GIN,,0,NA,Current
SOLEIIIa-2224, 173002,Solea solea,Common sole,multinational-ICES-22-24-IIIa,Common sole ICES 22-24-3a,European Union,Denmark,27,DNK,,0,NA,Current
SOLEIS, 173002,Solea solea,Common sole,multinational-ICES-VIIa,Common sole Irish Sea,European Union,Belgium,27,BEL,3c424584-e94b-3c5e-9a88-067ccb2e582e,1,SOLEIS,Current
SOLENS, 173002,Solea solea,Common sole,multinational-ICES-IV,Common sole North Sea,European Union,Netherlands,27,NLD,06cac69d-d21e-3db5-9bdc-e07b3cd5fdfc,1,SOLENS,Current
SOLEVIIbc, 173002,Solea solea,Common sole,multinational-ICES-VIIbc,Common sole ICES 7bc,European Union,Ireland,27,IRL,328367df-bbc8-33ae-9965-58abdb9ef9a3,0,NA,Current
SOLEVIId, 173002,Solea solea,Common sole,multinational-ICES-VIId,Common sole Eastern English Channel,European Union,France,27,FRA,1d84abe4-cdb0-3e11-9a26-47ac8e0eb6a1,1,SOLEVIId,Current
SOLEVIIe, 173002,Solea solea,Common sole,multinational-ICES-VIIe,Common sole Western English Channel,European Union,Great Britain,27,GBR,e29c6fa5-6d57-39e4-b28c-d1efeb767f6f,1,SOLEVIIe,Current
SOLEVIIh-k, 173002,Solea solea,Common sole,multinational-ICES-VIIh-k,Common sole ICES 7h-k,European Union,France,27,FRA,19b649d4-7f44-3eb5-a729-558834121403,0,NA,Current
SOLEVIIIab, 173002,Solea solea,Common sole,multinational-ICES-VIIIab,Common sole ICES 8ab,European Union,France,27,FRA,51b7e41c-f37f-3fca-8864-4d04f8d50261,0,NA,Current
SOLEVIIIc-IXa, 173002,Solea solea,Common sole,multinational-ICES-VIIIc-IXa,Common sole ICES 8c-9a,European Union,Spain,27,ESP,,0,NA,Current
SOLMEDGSA17, 173002,Solea solea,Common sole,multinational-GFCM-GSA17,Common sole Northern Adriatic Sea,Mediterranean-Black Sea,Italy,37,ITA,ae6b1bac-0060-33e9-b4d8-9622af9eef71,0,NA,Current
SOLMEDGSA7, 173002,Solea solea,Common sole,multinational-GFCM-GSA7,Common sole Gulf of Lions,Mediterranean-Black Sea,France,37,FRA,284ada81-0d49-343f-80b7-9ceddeb3fd35,0,NA,Current
SOUTHHAKECH, 164797,Merluccius australis,Southern hake,Chile-SUBPESCA-CH-CS,Southern hake Central-Southern Chile,South America,Chile,87,CHL,,0,,Current
SOUTHHAKECR, 164797,Merluccius australis,Southern hake,New Zealand-MFish-CR,Southern hake Chatham Rise,New Zealand,New Zealand,81,NZL,,0,,Current
SOUTHHAKESA, 164797,Merluccius australis,Southern hake,New Zealand-MFish-SA,Southern hake Sub-Antarctic,New Zealand,New Zealand,81,NZL,,0,,Current
SOUTHHAKEWCSI, 164797,Merluccius australis,Southern hake,New Zealand-MFish-WCSI,Southern hake West Coast South Island,New Zealand,New Zealand,81,NZL,823ba3de-9c22-3311-94e3-8d04f57aae29,0,NA,Current
SPANMACKECS, 172446,Scomberomorus niphonius,Japanese Spanish mackerel,Japan-FAJ-ECS,Japanese Spanish mackerel East China Sea,Japan,Japan,61,JPN,f0eb0e4d-f2a6-39a2-bfd2-0b541af416dc,0,NA,Current
SPANMACKGM, 172436,Scomberomorus maculatus,Spanish mackerel,USA-NMFS-GM,Spanish mackerel Gulf of Mexico,US Southeast and Gulf,USA,31,USA,,0,NA,Current
SPANMACKSATLC, 172436,Scomberomorus maculatus,Spanish mackerel,USA-NMFS-SATLC,Spanish mackerel Southern Atlantic coast,US Southeast and Gulf,USA,31,USA,,0,NA,Current
SPANMACKSETO, 172446,Scomberomorus niphonius,Japanese Spanish mackerel,Japan-FAJ-SETO,Japanese Spanish mackerel Inland Sea of Japan,Japan,Japan,61,JPN,6edf1e15-da5b-3131-b457-ebe51b6dd3f8,0,,Current
SPHAKECH, 164799,Merluccius gayi,South Pacific hake,Chile-SUBPESCA-CH-CS,South Pacific hake Central-Southern Chile,South America,Chile,87,CHL,,0,,Current
SPRAT22-32, 161789,Sprattus sprattus,Sprat,multinational-ICES-22-32,Sprat Baltic Areas 22-32,European Union,Poland,27,POL,,1,SPRAT22-32,Current
SPRATIIIa, 161789,Sprattus sprattus,Sprat,multinational-ICES-IIIa,Sprat Kattegat and Skagerrak,European Union,Denmark,27,DNK,114be15b-a370-37b7-aaa3-1540eae2a0a6,0,NA,Deprecated
SPRATIIIa-IV, 161789,Sprattus sprattus,Sprat,multinational-ICES-IIIa-IV,Sprat ICES 3a-4,European Union,Denmark,27,DNK,,0,NA,Current
SPRATNS, 161789,Sprattus sprattus,Sprat,multinational-ICES-IV,Sprat North Sea,European Union,Denmark,27,DNK,96e5e940-2806-3182-8a6b-e05f30ef5706,0,NA,Deprecated
SPRATVIIde, 161789,Sprattus sprattus,Sprat,multinational-ICES-VIIde,Sprat ICES 7de,European Union,Great Britain,27,GBR,6a17c99c-fa57-3f01-91c0-1302acd88a47,0,NA,Current
SPRATVI-VIIabcfghijk, 161789,Sprattus sprattus,Sprat,multinational-ICES-VI-VIIabcfghijk,Sprat ICES 6-7abcfghijk,European Union,Denmark,27,DNK,,0,NA,Current
SPRAYIIIa-IV-VIId, 160883,Raja montagui,Spotted ray,multinational-ICES-IIIa-IV-VIId,Spotted ray ICES 3a-4-7d,European Union,Netherlands,27,NLD,,0,NA,Current
SPRAYIXa, 160883,Raja montagui,Spotted ray,multinational-ICES-IXa,Spotted ray Portugese Waters -East,European Union,Portugal,27,PRT,,0,NA,Current
SPRAYVIIaefgh, 160883,Raja montagui,Spotted ray,multinational-ICES-VIIaefgh,Spotted ray ICES 7aefgh,European Union,France,27,FRA,,0,NA,Current
SPRAYVIII, 160883,Raja montagui,Spotted ray,multinational-ICES-VIII,Spotted ray Bay of Biscay,European Union,France,27,FRA,,0,NA,Current
SPRAYVI-VIIbj, 160883,Raja montagui,Spotted ray,multinational-ICES-VI-VIIbj,Spotted ray ICES 6-7bj,European Union,Great Britain,27,GBR,,0,NA,Current
SPRBLKGSA29, 161789,Sprattus sprattus,Sprat,multinational-GFCM-GSA29,Sprat Black Sea,Mediterranean-Black Sea,Ukraine,37,UKR,3592a467-e5d8-3577-89c6-937746b23bb6,0,NA,Current
SPSDOGPCOAST, 160620,Squalus suckleyi,Spotted spiny dogfish,USA-NMFS-PCOAST,Spotted spiny dogfish Pacific Coast,US West Coast,USA,67,USA,b744f906-146e-3ce3-a6ba-cc4e52f12f14,0,,Current
SPSHRIMPCWA, 551575,Farfantepenaeus notialis,Southern pink shrimp,multinational-FAO-CWA,Southern pink shrimp Central West Africa,West Africa,Gabon,34,GAB,,0,NA,Current
SPSQUIDPAC, 556653,Loligo bleekeri,Spear squid,Japan-FAJ-PAC,Spear squid Pacific Ocean,Japan,Japan,61,JPN,3c895c75-e1b6-37f4-8bdc-3270736d6f44,0,NA,Current
SPSQUIDTSSTWC, 556653,Loligo bleekeri,Spear squid,Japan-FAJ-TSSTWC,Spear squid Tsushima warm current,Japan,Japan,61,JPN,4bb28ab6-5efd-3184-a46e-c640653215af,0,NA,Current
SPURDNEATL, 160617,Squalus acanthias,Spurdog,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,Spurdog Northeast Atlantic,European Union,Norway,27,NOR,4b8f032e-bf30-30e8-b218-8f665768e8b5,0,NA,Current
SRAKEROCKBSAI, 166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-BSAI,Shortraker rockfish Bering Sea and Aleutian Islands,US Alaska,USA,67,USA,,0,NA,Current
SRAKEROCKGA, 166712,Sebastes borealis,Shortraker rockfish,USA-NMFS-GA,Shortraker rockfish Gulf of Alaska,US Alaska,USA,67,USA,,0,NA,Current
SSALMA1, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A1,Sockeye salmon Area 1,Canada West Coast (Pacific Salmon),Canada, 2,CAN,2ac13c6e-5f12-3376-afc3-0f6c7c55ef12,0,,Current
SSALMA12, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A12,Sockeye salmon Area 12,Canada West Coast (Pacific Salmon),Canada, 2,CAN,04c2b097-8d14-3248-bb5e-b2355dc5f8a8,0,,Current
SSALMA13, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A13,Sockeye salmon Area 13,Canada West Coast (Pacific Salmon),Canada, 2,CAN,3bd07ccf-39e4-3f8e-8060-c13b9327e2fe,0,,Current
SSALMA16, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A16,Sockeye salmon Area 16,Canada West Coast (Pacific Salmon),Canada, 2,CAN,83bf9c6e-faec-3f8b-bfd8-8642caff7854,0,,Current
SSALMA28, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A28,Sockeye salmon Area 28,Canada West Coast (Pacific Salmon),Canada, 2,CAN,488a57ce-1917-35e3-87d3-0ea7df8dca99,0,,Current
SSALMA2E, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A2E,Sockeye salmon Area 2E,Canada West Coast (Pacific Salmon),Canada, 2,CAN,7f493c8c-c2f9-38ac-b622-7ab1f2a63445,0,,Current
SSALMA2W, 161979,Oncorhynchus nerka,Sockeye salmon,Canada-DFO-A2W,Sockeye salmon Area 2W,Canada West Coast (Pacific Salmon),Canada, 2,CAN,a70eb3fb-5459-3245-9b09-a094003c85eb,0,,Current
