"","stock_name","ricker_a","ricker_b","ricker_AICc","bevholt_a","bevholt_b","bevholt_AICc"
"146","HERRNWATLC",3229.00783064041,1.64562549419814e-06,-119.901819891735,3918.829584943,3.70836708986237e-06,-119.007862100199
"147","HERRPRD",18669.7878066113,3.33903519448121e-05,-50.2865356362272,45287.439541778,0.00020666555559882,-46.0470716607885
"148","HERRPWS",4919.46278957331,9.34840453717673e-06,-2.18209161046747,5542.20564865074,1.74166005957051e-05,-2.24252671165534
"149","HERRQCI",34686.1457164341,5.79129858041731e-05,-13.8998062227922,1489283266.83504,9.46952287027067,-23.3763077651745
"150","HERRRIGA",32891.7257767747,9.55988621366174e-07,-50.0579181171797,32606.4835404815,8.87662500043373e-07,-50.0467357443763
"151","HERRSIRS",10005.3331421737,5.68744356958662e-06,-71.2477784157971,13933.5742150436,1.58689991134581e-05,-72.0670641415824
"152","HERRSITKA",6134.54649886842,1.00285845044001e-05,-11.7814691614998,6356.66315006436,1.42187293931737e-05,-11.6017536240929
"153","HERRSOG",42728.5783444539,1.32287825474574e-05,-79.2970539823355,120547.818341315,9.57788452686528e-05,-87.2948868440631
"154","HERRVIa",8054.47209767368,6.79398217260623e-07,-46.2556740079466,8393.61529974514,1.02385358525478e-06,-46.4267353548164
"155","HERRVIaVIIbc",5493.95102746086,-5.73793817754173e-08,-88.15169711406,5510.3731151699,-4.9344161255702e-08,-88.1491877360924
"156","HERRWCVANI",45265.5097226549,3.56192073922669e-05,-61.7879611284599,143986.775735339,0.000338916066723126,-65.7646379504988
"157","HMACKIIa.IVa.Vb.VIa.VII.VIII",2658.94971074409,2.96716445199988e-07,-28.4606727690829,8398.06986015501,2.6620695511291e-06,-31.0035479548909
"158","HMACKIXa",6266.30833699551,-1.57762837669158e-06,-36.2090851461156,7635.94393970145,-8.64148366318198e-07,-36.2254307747602
"159","HOKIENZ",13967.2332452423,2.98983559486653e-06,-33.4811272014024,186206.704008716,0.00011450185600805,-35.9109088319384
"160","HOKIWNZ",10640.1363338958,1.41981958935771e-06,-18.6178033239368,36899.0580550681,1.32192477384948e-05,-21.2725416116415
"161","JANCHOPJPN",416851.461253215,1.55792674855413e-06,-79.1771506348969,529088.75822184,3.90192057746832e-06,-82.4885708400681
"162","JANCHOSETO",16051206.9695756,1.47140772540073e-05,-83.2134563209298,52286142.7732025,0.000128243311836119,-86.3568124023238
"163","JANCHOTSST",1309568.55962745,4.41152491639298e-06,-121.876804589758,1605353.00984258,9.46994022542978e-06,-123.2060559163
"164","JMACKPJPN",22847.0609926699,-2.02644347116178e-06,-77.1764148544285,22871.3047396962,-1.91631670581456e-06,-77.1815853922219
"165","JMACKTSST",35214.2168584098,2.19664840441944e-06,-65.4513193991024,35786.6019763898,2.86423218584967e-06,-65.1383764391351
"166","JPUFFIMKB",14711.9036181428,0.0249001243975911,-5.79383420339805,4100593577.59133,24733.3142226938,-0.293243766050033
"167","KELPGREENLINGORECOAST",24376.8424543272,0.00553936064105757,-51.5508951767851,397138597.906679,325.263641646144,-46.7038772727744
"168","KMACKGM",0.0110626004218934,7.82125035204352e-10,-64.2410927786473,945.021696237407,0.000210239175031975,-61.0075269720036
"169","KMACKSATLC",0.00814500983639711,3.8512614640448e-10,-55.6983441364968,479.766003975976,6.93470956130885e-05,-54.5436257391717
"170","KMFLOUNBSAI",1864.92573686944,3.19159631625627e-05,-22.3871115850105,15023410.8859599,0.856531017647684,-22.1347050079337
"171","LINGCODNPCOAST",739.832138219761,3.15912014811711e-05,-86.1697410358724,945.599731419647,7.26606089358059e-05,-86.6277413580866
"172","LINGCODSPCOAST",955.35157311057,8.49121227764215e-05,-56.5957571824565,1348.27263132551,0.000249687305886097,-57.6883663777331
"173","LINGVa",467.068704474093,4.06454228464394e-05,-51.7260063187595,695.365363769485,0.000123546959376824,-48.7516954893802
"174","LOBSTERGB",26029.5910652783,0.00251516589672708,-51.9983176848948,2549781189.70331,983.415493932762,-45.3735644567189
"175","LOBSTERGOM",12114.7145221765,7.63695920936436e-05,-56.4324564095809,13000.3265154942,0.000118620998748657,-55.9120788235634
"176","LOBSTERSNE",1130.263778936,-7.29432377490057e-05,-67.4207145316946,1205.01400786335,-5.10205420291175e-05,-67.4522178436626
"177","LSTHORNHPCOAST",13322.8121237088,3.73995621297421e-05,-81.0141195267336,84699421.3053094,0.663907020409621,-83.5949457364874
"178","MACK5YCHATT",1662.24025477225,1.22141897029931e-06,14.9755761876986,4703.0149766338,1.36770993717162e-05,8.41676210228809
"179","MACKNEICES",2257.49117327139,1.4133074028861e-07,-101.789010365089,2868.87248609431,3.17659383450224e-07,-102.663408910355
"180","MACKNWATLSA3.4",2.38669390649338,5.00352218797959e-06,-58.0520378584747,4.01168368843337,2.06989315393188e-05,-57.5750997102644
"181","MEG8c9a",4482.03349153615,6.70481843885766e-05,-37.2226963740905,4507.34929393085,7.53048253617574e-05,-37.2240300585447
"182","MENATGM",0.000112394562066078,3.44232294851326e-16,-81.6316514134298,0.000324674961675164,2.42384238882081e-15,-80.1432001578932
"183","MENATLAN",0.000779159463714968,1.98174424180171e-14,-82.1449681477202,34.919492348869,2.63204125066395e-09,-81.1356716054592
"184","MORWONGESE",761561739.503084,1.253323049369e-05,-114.279811802719,776097450.184563,1.5800908981799e-05,-114.470466171504
"185","MORWONGWSE",1512171696.92339,0.000546561426493071,-46.0820302252029,2734598735202.43,2.83620056948507,-48.3323595398131
"186","MUTSNAPSATLCGM",593.302882878191,0.000154410695489408,-45.9295745033638,627.142181480866,0.000220182823578972,-45.9323300946121
"187","NPOUTIIIa.IV",1023.16009790031,1.0201113823683e-05,-22.2459645128083,2051.10248408614,5.09698497866466e-05,-18.5557744527241
"188","NROCKBSAI",1932.82676328964,1.86724252862136e-05,-28.8487659600521,58986410.6550245,1.83083037270387,-26.8648551331339
"189","NROCKGA",2982.30640448959,4.61738826830987e-05,-26.3355521724191,373236158.625946,26.4524767458741,-13.5291239583753
"190","NRSOLEEBSAI",15.8252228583984,4.04459929774809e-06,-15.5731945221973,89.580752739709,7.89095166035278e-05,-16.2993892825054
"191","NRSOLEGA",17684.3008927878,4.37747573901084e-05,-83.3828219892128,23822724.6450011,0.215062965687558,-81.7742250203062
