stock_name,regime_length
ESOLEPCOAST,11
ESOLEPCOAST,10
ESOLEPCOAST,7
ESOLEPCOAST,12
ESOLEPCOAST,6
ESOLEPCOAST,7
FMEG8c9a,7
FMEG8c9a,16
FMEG8c9a,7
GTRIGGM,8
GTRIGGM,7
GTRIGGM,12
GTRIGGM,10
HADNEAR,6
HADNEAR,9
HADNEAR,27
HADNEAR,6
HADNEAR,6
HADNEAR,13
HAKESPPSAF,6
HAKESPPSAF,7
HAKESPPSAF,9
HAKESPPSAF,7
HAKESPPSAF,7
HAKESPPSAF,14
HAKESPPSAF,6
HERR30.31,8
HERR30.31,18
HERR30.31,12
HERR4TSP,14
HERR4TSP,8
HERR4TSP,15
HERRNIRS,7
HERRNIRS,18
HERRNIRS,14
HERRNS.IIIa.VIId,8
HERRNS.IIIa.VIId,10
HERRNS.IIIa.VIId,8
HERRNS.IIIa.VIId,8
HERRNS.IIIa.VIId,22
HERRNS.IIIa.VIId,6
HERRNS.IIIa.VIId,11
HERRNWATLC,6
HERRNWATLC,12
HERRNWATLC,15
HERRNWATLC,12
HERRRIGA,6
HERRRIGA,6
HERRRIGA,6
HERRRIGA,24
HERRSIRS,13
HERRSIRS,9
HERRSIRS,6
HERRSIRS,26
HERRSIRS,6
HERRSITKA,14
HERRSITKA,13
HERRSOG,14
HERRSOG,9
HERRSOG,6
HERRSOG,7
HERRSOG,16
HERRSOG,11
HERRVIa,7
HERRVIa,8
HERRVIa,30
HERRVIa,6
HERRVIa,6
HERRVIaVIIbc,7
HERRVIaVIIbc,8
HERRVIaVIIbc,24
HERRVIaVIIbc,6
HERRVIaVIIbc,10
HERRVIaVIIbc,6
JANCHOPJPN,10
JANCHOPJPN,9
JANCHOPJPN,7
JANCHOPJPN,10
JANCHOTSST,11
JANCHOTSST,7
JANCHOTSST,16
JANCHOTSST,8
JMACKTSST,14
JMACKTSST,18
JMACKTSST,15
LOBSTERGOM,6
LOBSTERGOM,6
LOBSTERGOM,8
LOBSTERGOM,6
MACK5YCHATT,7
MACK5YCHATT,18
MACK5YCHATT,6
MACK5YCHATT,7
MACK5YCHATT,10
MACKNEICES,10
MACKNEICES,11
MACKNEICES,19
MACKNWATLSA3.4,41
MACKNWATLSA3.4,9
MEG8c9a,6
MEG8c9a,6
MEG8c9a,9
MEG8c9a,12
NSHRIMPCSCH,15
NSHRIMPCSCH,11
NSHRIMPCSCH,8
NSHRIMPCSCH,7
NSHRIMPCSCH,9
NSHRIMPCSCH,6
NZSNAPNZ1ENLD,9
NZSNAPNZ1ENLD,6
NZSNAPNZ1ENLD,22
NZSNAPNZ1ENLD,8
NZSNAPNZ7,10
NZSNAPNZ7,9
NZSNAPNZ7,6
NZSNAPNZ7,7
NZSNAPNZ7,12
NZSNAPNZ7,6
PANCHPERUNC,8
PANCHPERUNC,6
PANCHPERUNC,14
PANCHPERUNC,8
PANCHPERUNC,11
PATGRENADIERCH,8
PATGRENADIERCH,7
PATGRENADIERCH,10
PATGRENADIERCH,11
PAUAPAU5B,9
PAUAPAU5B,6
PAUAPAU5B,6
PAUAPAU5B,7
PAUAPAU5B,6
PAUAPAU7,6
PAUAPAU7,6
PAUAPAU7,7
PAUAPAU7,12
PILCHPJPN,6
PILCHPJPN,6
PILCHPJPN,7
PILCHPJPN,7
PILCHPJPN,6
PILCHPJPN,6
PILCHPJPN,6
PINKSHRIMPGM,21
PINKSHRIMPGM,7
PINKSHRIMPGM,6
PLAIC7d,17
PLAIC7d,11
PLAIC7d,11
PLAICVIIh.k,6
PLAICVIIh.k,11
PLAICVIIh.k,6
POPERCHGA,6
POPERCHGA,7
POPERCHGA,33
PSALMAKPSESCD,12
PSALMAKPSESCD,15
PSALMAKPSESCD,8
PSALMAMURPW,7
PSALMAMURPW,6
PSALMAMURPW,11
PSALMAMURPW,9
PSALMAMURPW,12
PSALMAMURPW,7
PSALMANADYRPW,6
PSALMANADYRPW,17
PSALMANADYRPW,15
PSALMANADYRPW,14
PSALMCHIGNIKCD,8
PSALMCHIGNIKCD,16
PSALMCHIGNIKCD,10
PSALMCHIGNIKED,7
PSALMCHIGNIKED,7
PSALMCHIGNIKED,14
PSALMCHIGNIKED,6
PSALMEKAMPW,32
PSALMEKAMPW,20
PSALMESAKPW,6
PSALMESAKPW,6
PSALMESAKPW,7
PSALMESAKPW,8
PSALMESAKPW,8
PSALMESAKPW,17
PSALMHUMPYCCISD,13
PSALMHUMPYCCISD,12
PSALMHUMPYCCISD,12
PSALMJCPH,9
PSALMJCPH,6
PSALMJCPH,15
PSALMJCPH,21
PSALMJCPW,6
PSALMJCPW,16
PSALMJCPW,13
PSALMJCPW,16
PSALMMONTD,6
PSALMMONTD,7
PSALMMONTD,13
PSALMOKPW,12
PSALMOKPW,9
PSALMOKPW,16
PSALMOKPW,15
PSALMPDICK,9
PSALMPDICK,6
PSALMPDICK,10
PSALMPDICK,12
PSALMPERRYVILLED,8
PSALMPERRYVILLED,6
PSALMPERRYVILLED,13
PSALMPERRYVILLED,7
